Usia,Jenis Kelamin,Pekerjaan,Penghasilan Tiap Bulan,Seberapa sering Anda melakukan pembelian dalam satu bulan?,Apa motivasi Anda dalam melakukan transaksi pembelian?,Fitur Shopee Games apa saja yang Anda gunakan?,Menggunakan Shopee Games untuk berbelanja sangat menguntungkan.,Menggunakan Shopee Games untuk berbelanja adalah pilihan yang tepat.,Saya menyukai ide bermain Shopee Games untuk berbelanja.,Saya selalu menggunakan hadiah dari Shopee Games untuk berbelanja.,Saya akan kembali menggunakan Shopee untuk berbelanja.,Saya akan menggunakan Shopee Games untuk berbelanja di Shopee.,Saya akan berbelanja di Shopee dalam 3 bulan ke depan.,Saya melakukan pembelian karena promosi yang ditawarkan Shopee menarik.,Saya merasa fitur Shopee Games dapat dipercaya.,Fitur Shopee Games dikenal banyak orang.,Fitur Shopee Games menawarkan berbagai macam hadiah yang sesuai dengan kebutuhan saya.,Hadiah yang saya dapatkan dari fitur Shopee Games sesuai harapan saya.
18-25,Pria,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize",3,3,3,3,3,3,3,3,3,3,3,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,Reward Koin Shopee,4,4,3,2,4,4,3,3,4,4,3,3
18-25,Pria,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Lucky Prize, Reward Koin Shopee",3,2,4,4,3,3,3,5,2,4,3,2
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Hobi,Shopee Tanam,5,5,5,5,5,5,5,5,5,5,5,5
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Occasional,"Shopee Lucky Prize, Reward Koin Shopee",3,3,2,3,4,2,3,5,3,5,1,2
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,Shopee Lucky Prize,1,1,2,1,5,2,5,2,2,3,1,1
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Tanam, Reward Koin Shopee, shopee arisan",4,3,4,5,5,4,5,5,4,5,5,5
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Rutin/Bulanan,Reward Koin Shopee,1,2,1,1,5,3,5,4,3,1,1,1
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Rutin/Bulanan,Reward Koin Shopee,2,2,2,2,5,2,5,5,2,3,1,2
18-25,Pria,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Shopee Lucky Prize",3,3,2,2,3,2,3,3,2,4,2,2
18-25,Wanita,Pelajar,Rp2.000.000 - Rp5.000.000,3-Jan,Kebutuhan Occasional,Reward Koin Shopee,2,2,1,1,3,2,3,2,2,3,2,2
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,>3,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Reward Koin Shopee",3,3,4,4,5,3,5,5,4,5,4,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Rutin/Bulanan,Shopee Tanam,2,2,3,2,2,2,4,2,3,4,2,2
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",5,5,4,5,5,5,5,5,5,5,4,5
18-25,Pria,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Hobi,"Reward Koin Shopee, Tidak menggunakan",4,4,3,3,4,3,3,3,4,4,3,2
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",4,4,4,3,4,4,5,4,4,4,4,4
18-25,Pria,Pelajar,Rp0 - Rp2.000.000,3-Jan,Hobi,Reward Koin Shopee,4,3,3,3,4,3,4,5,3,4,2,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,3-Jan,Kebutuhan Occasional,"Shopee Tanam, Reward Koin Shopee",5,4,4,4,5,4,5,5,4,5,4,3
18-25,Wanita,Pegawai Swasta,Rp2.000.000 - Rp5.000.000,>3,Kebutuhan Rutin/Bulanan,Reward Koin Shopee,5,4,5,4,5,4,5,5,4,4,4,4
18-25,Wanita,Pelajar,Rp2.000.000 - Rp5.000.000,>3,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",3,3,4,5,5,3,5,4,3,4,3,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,Shopee Tanam,3,3,3,3,3,3,3,3,3,3,3,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",4,4,4,4,3,4,4,4,4,5,3,4
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,>3,Hobi,Reward Koin Shopee,5,4,5,5,5,4,5,5,4,5,4,5
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,Reward Koin Shopee,2,2,3,2,4,2,3,4,2,3,3,1
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Occasional,Shopee Tanam,4,4,4,4,4,4,4,4,5,5,5,5
18-25,Wanita,Pegawai Swasta,Rp2.000.000 - Rp5.000.000,3-Jan,Kebutuhan Rutin/Bulanan,"Shopee Tanam, Shopee Lucky Prize, Reward Koin Shopee",3,3,3,3,3,3,3,3,3,3,3,3
18-25,Wanita,Pelajar,Rp0 - Rp2.000.000,Belum tentu,Kebutuhan Rutin/Bulanan,Reward Koin Shopee,3,3,3,3,3,3,3,3,3,5,3,3
